    3366  ! number of record (species) in the file
GHN400Q   433.56
GHN500h   383.10
GNN600Z   366.63
GPN600a   410.21
GPN500i   464.32
GNN400B   474.48
GGN400I   486.47
GPN400L   549.77
GHN5011   418.33
GGN600s   404.58
GPN600w   443.88
GNN500f   454.74
GHH501U   391.92
GHN600S   327.28
GNN3006   497.74
GHN300D   422.22
GNN600E   322.30
GNN600S   407.07
GNN500Y   421.11
GNN600B   366.63
GNN500T   408.70
GPN500l   464.32
GHH501Y   338.35
GPH601e   377.72
GHN400B   363.07
GNN6004   316.66
GGN600H   327.28
GPN600C   370.66
GNN5006   346.71
GPN500Q   413.73
GNN4001   394.64
GGN4008   411.16
GPN400A   480.75
GNN600L   397.52
GHN500f   359.99
GNN6008   346.16
GGN600K   355.59
GPN600R   401.20
GNN500M   388.83
GNN3002   477.66
GGN3003   498.37
GPN3005   597.99
GGN500H   400.62
GNN4009   460.27
GPN400M   558.10
GNN500g   444.47
GHN400Z   403.42
GNN4004   384.50
GEH3005   379.66
GHH400o   336.84
GPH602M   415.85
GHH400W   377.74
GHN500w   400.62
GHH600T   335.76
GPH601x   383.76
GHH501Z   370.59
GHH501W   347.98
GHH600U   281.15
GPH601y   345.95
GHH400X   301.59
GHH600X   281.15
GHH500n   275.24
GHH600B   271.72
GGH600Z   281.15
GPH6012   339.44
GHH500p   293.48
GPH501T   375.18
GGH400M   343.76
GHH600o   363.29
GHH600p   306.63
GHH501S   305.26
GHH600W   298.15
GPH601z   366.68
GHH600q   329.47
GHN300F   422.22
GHH300A   324.52
GHN600b   331.73
GHN600a   374.33
GHH5019   338.35
GHN600L   327.28
GPH601f   377.72
GHH4009   285.07
GHN6001   259.56
GHN5006   278.28
GPH500i   365.55
GHN4000   310.18
GPH400F   418.08
GHH5013   293.48
GHN600F   287.53
GPH601K   359.62
GHN500Q   317.06
GHN3003   366.95
GGH3007   390.66
GPH3007   507.05
GHH501b   293.48
GHN600R   287.53
GPH601v   359.62
GHN500z   317.06
GHH400L   320.32
GHN2000   361.16
GNN3003   488.04
GHN300A   411.22
GHN3008   311.81
GNN4002   354.30
GHN4002   274.94
GNN5003   319.51
GHN5004   253.82
GND600O   251.86
GGN6002   266.07
GPN6002   327.28
GND5002   268.65
GGN5002   286.42
GPN5002   359.99
GPN4008   411.16
GHN3009   422.22
GGN600Z   331.73
GGN600v   413.12
GGN600Y   374.33
GGN500P   418.33
GNN4007   420.37
GHN400I   363.07
GHN500G   326.57
GNN6003   316.66
GGN600C   327.28
GNN500O   346.71
GGN500C   359.99
GPN500D   413.73
GNN600H   346.16
GEH4003   320.32
GHH500m   338.35
GHH400C   285.07
GHN6000   259.56
GPH600c   331.73
GGH500B   293.48
GPH5009   365.55
GHN600O   287.53
GNN3001   398.51
GHN3001   296.79
GND600P   251.86
GNN500C   372.50
GNN6005   316.66
GHN6002   259.56
GGH600r   271.72
GPH600d   331.73
GNN4003   344.16
GHN4003   262.95
GND600R   251.86
GNN6007   316.66
GHN600E   259.56
GNN5002   311.37
GHN5001   244.19
GND6000   242.43
GGN6001   259.56
GPN6001   322.30
GND5000   256.87
GGN5003   278.28
GPN5004   353.77
GND600Q   273.31
GND4000   283.53
GGN4001   310.18
GPN4001   403.42
GNN5008   346.71
GHN5008   278.28
GND6004   273.31
GGN6006   287.53
GPN600F   351.14
GND500L   299.29
GND3000   333.54
GGN3000   366.95
GPN3000   488.66
GHN500v   359.99
GNN4005   394.64
GHN400H   310.18
GHN500I   278.28
GND6002   273.31
GPN600E   351.14
GND5008   299.29
GGN5006   317.06
GPN500A   395.05
GND600i   307.88
GPN400G   468.02
GNU4000   264.61
GND2000   438.27
GGN2000   481.20
GPN2000   665.37
GEN3000   450.67
GHN300f   379.66
GPN400K   474.94
GHN300b   498.37
GNN500j   460.41
GNN400G   474.48
GHN400O   411.16
GPN500Y   459.34
GGN400G   474.94
GPN400H   558.10
GNN600b   437.17
GNN500h   454.74
GHN500x   400.62
GGN600l   390.37
GPN600m   440.55
GEH400L   376.28
GHH400U   329.09
GHN600T   293.17
GPH601u   359.62
GHN500r   317.06
GPH501M   405.65
GHN600h   320.04
GHN600n   390.37
GPH602K   394.05
GHN600o   360.99
GNN3005   477.66
GHN300B   366.95
GPN600r   404.58
GNN500S   408.70
GNN500e   388.83
GHN4009   310.18
GHN5007   278.28
GND6003   273.31
GGN600J   287.53
GPN600D   351.14
GND5007   299.29
GPN500N   395.05
GND4003   345.38
GGN4006   367.50
GPN4006   468.02
GNN600K   381.89
GNN500R   388.83
GHN500R   317.06
GND600a   307.88
