2.8E+00  2.2E+07  1.0E-01  GHN2001 
3.1E+00  6.9E+06  1.0E-01  GGH2002 
3.4E+00  2.6E+04  1.0E-01  GPH2002 
3.0E+00  6.1E+11  1.0E-01  GHN300S 
3.3E+00  2.2E+11  1.0E-01  GGH300K 
3.7E+00  6.7E+08  1.0E-01  GPH300N 
2.1E+00  6.8E+01  0.0E+00  GED2001 
3.1E+00  6.3E+10  1.0E-01  GHN300e 
2.8E+00  3.7E+13  1.0E-01  GHH300e 
2.6E+00  3.3E+10  1.0E-01  GHD300F 
3.3E+00  4.7E+08  1.0E-01  GPH300H 
2.6E+00  1.5E+08  1.0E-01  GHV2003 
2.4E+00  1.9E+07  0.0E+00  GVO2001 
2.3E+00  4.6E+09  1.0E-01  GHO2001 
2.9E+00  1.8E+11  1.0E-01  GHV3006 
2.6E+00  2.2E+12  1.0E-01  GHO3006 
2.9E+00  1.2E+16  1.0E-01  GHO4005 
3.1E+00  2.3E+16  1.0E-01  GHO5005 
2.9E+00  7.5E+12  0.0E+00  GDO5005 
3.0E+00  1.0E+14  0.0E+00  GAO5003 
3.2E+00  4.0E+13  1.0E-01  GGO5004 
3.6E+00  1.6E+12  1.0E-01  GPO5003 
3.3E+00  3.7E+13  0.0E+00  GNO5006 
3.7E+00  1.5E+11  0.0E+00  GNN500L 
3.3E+00  1.3E+13  0.0E+00  GND500D 
3.4E+00  2.0E+13  0.0E+00  GAN500F 
3.5E+00  6.0E+16  0.0E+00  GND600l 
3.8E+00  3.0E+16  1.0E-01  GGN600X 
4.1E+00  9.0E+13  1.0E-01  GPN600g 
3.0E+00  1.5E+13  1.0E-01  GHD500D 
3.2E+00  2.1E+14  1.0E-01  GAH500O 
3.3E+00  8.1E+13  1.0E-01  GGH500M 
3.7E+00  3.2E+12  1.0E-01  GPH500M 
3.9E+00  5.5E+14  1.0E-01  GPH601m 
2.6E+00  8.2E+12  0.0E+00  GOO4002 
3.0E+00  3.4E+10  0.0E+00  GNO4002 
3.2E+00  5.2E+15  0.0E+00  GAO6003 
3.3E+00  2.0E+15  1.0E-01  GGO6004 
3.7E+00  7.6E+12  1.0E-01  GPO6003 
3.0E+00  7.5E+11  1.0E-01  GGO5003 
2.6E+00  5.0E+09  0.0E+00  GDO4003 
2.7E+00  7.7E+10  0.0E+00  GAO4002 
2.9E+00  3.0E+10  1.0E-01  GGO4003 
3.3E+00  3.0E+08  1.0E-01  GPO4003 
3.3E+00  1.8E+10  0.0E+00  GNK5007 
2.9E+00  5.8E+12  0.0E+00  GDK5005 
3.0E+00  1.5E+13  0.0E+00  GAK5004 
3.2E+00  5.8E+12  1.0E-01  GGK5004 
3.5E+00  1.9E+11  1.0E-01  GPK5006 
3.1E+00  5.5E+10  1.0E-01  GHN300L 
3.3E+00  7.2E+12  0.0E+00  GND500T 
3.7E+00  7.5E+11  1.0E-01  GHN400T 
4.4E+00  2.4E+11  1.0E-01  GPN6014 
4.7E+00  4.8E+11  1.0E-01  GPN6013 
4.5E+00  5.1E+12  1.0E-01  GPH602Y 
3.7E+00  1.2E+13  0.0E+00  GNN5005 
3.8E+00  8.1E+12  0.0E+00  GAN500D 
3.9E+00  8.1E+16  0.0E+00  GNN600I 
4.1E+00  2.8E+16  1.0E-01  GGN600U 
4.4E+00  8.5E+13  1.0E-01  GPN600e 
4.2E+00  5.1E+14  1.0E-01  GPH601j 
3.3E+00  5.9E+09  1.0E-01  GGN4007 
3.3E+00  4.2E+13  0.0E+00  GND500U 
2.9E+00  2.2E+09  1.0E-01  GEH400B 
3.5E+00  5.6E+14  1.0E-01  GHH400T 
